Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes,Home_Win
Tue Oct 26 2010,7:30p,Miami Heat,80,Boston Celtics,88,Box Score,,18624,,1
Tue Oct 26 2010,10:00p,Phoenix Suns,92,Portland Trail Blazers,106,Box Score,,20603,,1
Tue Oct 26 2010,10:30p,Houston Rockets,110,Los Angeles Lakers,112,Box Score,,18997,,1
Wed Oct 27 2010,7:00p,Boston Celtics,87,Cleveland Cavaliers,95,Box Score,,20562,,1
Wed Oct 27 2010,7:00p,New York Knicks,98,Toronto Raptors,93,Box Score,,18722,,0
Wed Oct 27 2010,7:00p,Detroit Pistons,98,New Jersey Nets,101,Box Score,,15178,,1
Wed Oct 27 2010,7:00p,Miami Heat,97,Philadelphia 76ers,87,Box Score,,20389,,0
Wed Oct 27 2010,8:00p,Chicago Bulls,95,Oklahoma City Thunder,106,Box Score,,18203,,1
Wed Oct 27 2010,8:00p,Milwaukee Bucks,91,New Orleans Hornets,95,Box Score,,15039,,1
Wed Oct 27 2010,8:00p,Sacramento Kings,117,Minnesota Timberwolves,116,Box Score,,17067,,0
Wed Oct 27 2010,8:00p,Atlanta Hawks,119,Memphis Grizzlies,104,Box Score,,17519,,0
Wed Oct 27 2010,8:30p,Indiana Pacers,109,San Antonio Spurs,122,Box Score,,18581,,1
Wed Oct 27 2010,8:30p,Charlotte Bobcats,86,Dallas Mavericks,101,Box Score,,19440,,1
Wed Oct 27 2010,9:00p,Utah Jazz,88,Denver Nuggets,110,Box Score,,19155,,1
Wed Oct 27 2010,10:30p,Portland Trail Blazers,98,Los Angeles Clippers,88,Box Score,,18382,,0
Wed Oct 27 2010,10:30p,Houston Rockets,128,Golden State Warriors,132,Box Score,,18428,,1
Thu Oct 28 2010,8:00p,Washington Wizards,83,Orlando Magic,112,Box Score,,18918,,1
Thu Oct 28 2010,10:30p,Phoenix Suns,110,Utah Jazz,94,Box Score,,19911,,0
Fri Oct 29 2010,7:00p,Indiana Pacers,104,Charlotte Bobcats,101,Box Score,,18351,,0
Fri Oct 29 2010,7:00p,Cleveland Cavaliers,81,Toronto Raptors,101,Box Score,,15711,,1
Fri Oct 29 2010,7:00p,Atlanta Hawks,104,Philadelphia 76ers,101,Box Score,,10960,,0
Fri Oct 29 2010,7:00p,Sacramento Kings,100,New Jersey Nets,106,Box Score,,13482,,1
Fri Oct 29 2010,7:30p,New York Knicks,101,Boston Celtics,105,Box Score,,18624,,1
Fri Oct 29 2010,8:00p,Denver Nuggets,95,New Orleans Hornets,101,Box Score,,12474,,1
Fri Oct 29 2010,8:00p,Milwaukee Bucks,85,Minnesota Timberwolves,96,Box Score,,17197,,1
Fri Oct 29 2010,8:00p,Orlando Magic,70,Miami Heat,96,Box Score,,19600,,1
Fri Oct 29 2010,8:00p,Oklahoma City Thunder,105,Detroit Pistons,104,Box Score,,22076,,0
Fri Oct 29 2010,8:30p,Memphis Grizzlies,91,Dallas Mavericks,90,Box Score,,20060,,0
Fri Oct 29 2010,10:30p,Los Angeles Clippers,91,Golden State Warriors,109,Box Score,,17408,,1
