Date,Start (ET),Visitor,Visitor_Pts,Home,Home_Pts,Attend,Home_Win_Margin,Home_Win
"Tue, Oct 17, 2017",8:01p,Boston Celtics,99,Cleveland Cavaliers,102,"20,562",3,1
"Tue, Oct 17, 2017",10:30p,Houston Rockets,122,Golden State Warriors,121,"19,596",-1,0
"Wed, Oct 18, 2017",7:00p,Charlotte Hornets,90,Detroit Pistons,102,"20,491",12,1
"Wed, Oct 18, 2017",7:00p,Brooklyn Nets,131,Indiana Pacers,140,"15,008",9,1
"Wed, Oct 18, 2017",7:00p,Miami Heat,109,Orlando Magic,116,"18,846",7,1
"Wed, Oct 18, 2017",7:00p,Philadelphia 76ers,115,Washington Wizards,120,"20,356",5,1
"Wed, Oct 18, 2017",7:30p,Milwaukee Bucks,108,Boston Celtics,100,"18,624",-8,0
"Wed, Oct 18, 2017",8:00p,New Orleans Pelicans,91,Memphis Grizzlies,103,"17,794",12,1
"Wed, Oct 18, 2017",8:30p,Atlanta Hawks,117,Dallas Mavericks,111,"19,709",-6,0
"Wed, Oct 18, 2017",9:00p,Denver Nuggets,96,Utah Jazz,106,"17,588",10,1
"Wed, Oct 18, 2017",9:30p,Minnesota Timberwolves,99,San Antonio Spurs,107,"18,418",8,1
"Wed, Oct 18, 2017",10:00p,Portland Trail Blazers,124,Phoenix Suns,76,"18,055",-48,0
"Wed, Oct 18, 2017",10:00p,Houston Rockets,105,Sacramento Kings,100,"17,583",-5,0
"Thu, Oct 19, 2017",7:30p,Chicago Bulls,100,Toronto Raptors,117,"19,800",17,1
"Thu, Oct 19, 2017",8:00p,New York Knicks,84,Oklahoma City Thunder,105,"18,203",21,1
"Thu, Oct 19, 2017",10:30p,Los Angeles Clippers,108,Los Angeles Lakers,92,"18,997",-16,0
"Fri, Oct 20, 2017",7:00p,Atlanta Hawks,91,Charlotte Hornets,109,"18,417",18,1
"Fri, Oct 20, 2017",7:00p,Portland Trail Blazers,114,Indiana Pacers,96,"15,325",-18,0
"Fri, Oct 20, 2017",7:00p,Cleveland Cavaliers,116,Milwaukee Bucks,97,"18,717",-19,0
"Fri, Oct 20, 2017",7:00p,Boston Celtics,102,Philadelphia 76ers,92,"20,816",-10,0
"Fri, Oct 20, 2017",7:00p,Detroit Pistons,111,Washington Wizards,115,"16,337",4,1
"Fri, Oct 20, 2017",7:30p,Orlando Magic,121,Brooklyn Nets,126,"16,144",5,1
"Fri, Oct 20, 2017",8:00p,Utah Jazz,97,Minnesota Timberwolves,100,"18,978",3,1
"Fri, Oct 20, 2017",8:30p,Sacramento Kings,93,Dallas Mavericks,88,"19,273",-5,0
"Fri, Oct 20, 2017",9:30p,Golden State Warriors,128,New Orleans Pelicans,120,"18,171",-8,0
"Fri, Oct 20, 2017",10:00p,Los Angeles Lakers,132,Phoenix Suns,130,"18,055",-2,0
"Sat, Oct 21, 2017",7:30p,Philadelphia 76ers,94,Toronto Raptors,128,"19,800",34,1
"Sat, Oct 21, 2017",8:00p,San Antonio Spurs,87,Chicago Bulls,77,"21,640",-10,0
"Sat, Oct 21, 2017",8:00p,Orlando Magic,114,Cleveland Cavaliers,93,"20,562",-21,0
"Sat, Oct 21, 2017",8:00p,Dallas Mavericks,91,Houston Rockets,107,"18,055",16,1
"Sat, Oct 21, 2017",8:00p,Golden State Warriors,101,Memphis Grizzlies,111,"17,794",10,1
"Sat, Oct 21, 2017",8:00p,Indiana Pacers,108,Miami Heat,112,"19,600",4,1
"Sat, Oct 21, 2017",8:00p,Detroit Pistons,111,New York Knicks,107,"19,812",-4,0
"Sat, Oct 21, 2017",8:30p,Portland Trail Blazers,110,Milwaukee Bucks,113,"16,211",3,1
"Sat, Oct 21, 2017",9:00p,Sacramento Kings,79,Denver Nuggets,96,"19,520",17,1
"Sat, Oct 21, 2017",9:00p,Oklahoma City Thunder,87,Utah Jazz,96,"18,300",9,1
"Sat, Oct 21, 2017",10:30p,Phoenix Suns,88,Los Angeles Clippers,130,"19,068",42,1
"Sun, Oct 22, 2017",3:30p,Atlanta Hawks,104,Brooklyn Nets,116,"13,917",12,1
"Sun, Oct 22, 2017",7:00p,Minnesota Timberwolves,115,Oklahoma City Thunder,113,"18,203",-2,0
"Sun, Oct 22, 2017",9:30p,New Orleans Pelicans,119,Los Angeles Lakers,112,"18,997",-7,0
"Mon, Oct 23, 2017",7:00p,Philadelphia 76ers,97,Detroit Pistons,86,"13,709",-11,0
"Mon, Oct 23, 2017",7:30p,Atlanta Hawks,93,Miami Heat,104,"19,600",11,1
"Mon, Oct 23, 2017",8:00p,Memphis Grizzlies,98,Houston Rockets,90,"17,129",-8,0
"Mon, Oct 23, 2017",8:00p,Charlotte Hornets,94,Milwaukee Bucks,103,"12,887",9,1
"Mon, Oct 23, 2017",8:30p,Golden State Warriors,133,Dallas Mavericks,103,"19,875",-30,0
"Mon, Oct 23, 2017",8:30p,Toronto Raptors,97,San Antonio Spurs,101,"18,418",4,1
"Mon, Oct 23, 2017",9:00p,Washington Wizards,109,Denver Nuggets,104,"14,294",-5,0
"Mon, Oct 23, 2017",10:00p,Sacramento Kings,115,Phoenix Suns,117,"14,903",2,1
"Tue, Oct 24, 2017",7:00p,Chicago Bulls,112,Cleveland Cavaliers,119,"20,562",7,1
"Tue, Oct 24, 2017",7:00p,Brooklyn Nets,121,Orlando Magic,125,"16,015",4,1
"Tue, Oct 24, 2017",7:30p,New York Knicks,89,Boston Celtics,110,"18,624",21,1
"Tue, Oct 24, 2017",8:00p,Indiana Pacers,130,Minnesota Timberwolves,107,"14,353",-23,0
"Tue, Oct 24, 2017",10:00p,New Orleans Pelicans,93,Portland Trail Blazers,103,"19,446",10,1
"Tue, Oct 24, 2017",10:30p,Utah Jazz,84,Los Angeles Clippers,102,"16,607",18,1
"Wed, Oct 25, 2017",7:00p,Denver Nuggets,93,Charlotte Hornets,110,"14,253",17,1
"Wed, Oct 25, 2017",7:00p,Minnesota Timberwolves,101,Detroit Pistons,122,"13,790",21,1
"Wed, Oct 25, 2017",7:00p,Houston Rockets,105,Philadelphia 76ers,104,"20,682",-1,0
"Wed, Oct 25, 2017",7:30p,Cleveland Cavaliers,107,Brooklyn Nets,112,"17,732",5,1
"Wed, Oct 25, 2017",8:00p,San Antonio Spurs,117,Miami Heat,100,"19,600",-17,0
"Wed, Oct 25, 2017",8:00p,Indiana Pacers,96,Oklahoma City Thunder,114,"18,203",18,1
"Wed, Oct 25, 2017",8:30p,Memphis Grizzlies,94,Dallas Mavericks,103,"19,674",9,1
"Wed, Oct 25, 2017",10:00p,Utah Jazz,88,Phoenix Suns,97,"16,022",9,1
"Wed, Oct 25, 2017",10:30p,Toronto Raptors,112,Golden State Warriors,117,"19,596",5,1
"Wed, Oct 25, 2017",10:30p,Washington Wizards,99,Los Angeles Lakers,102,"18,996",3,1
"Thu, Oct 26, 2017",8:00p,Atlanta Hawks,86,Chicago Bulls,91,"21,104",5,1
"Thu, Oct 26, 2017",8:00p,Dallas Mavericks,91,Memphis Grizzlies,96,"15,839",5,1
"Thu, Oct 26, 2017",8:00p,Boston Celtics,96,Milwaukee Bucks,89,"11,046",-7,0
"Thu, Oct 26, 2017",10:00p,Los Angeles Clippers,104,Portland Trail Blazers,103,"18,694",-1,0
"Thu, Oct 26, 2017",10:30p,New Orleans Pelicans,114,Sacramento Kings,106,"17,583",-8,0
"Fri, Oct 27, 2017",7:00p,Houston Rockets,109,Charlotte Hornets,93,"17,339",-16,0
"Fri, Oct 27, 2017",7:00p,San Antonio Spurs,87,Orlando Magic,114,"17,337",27,1
"Fri, Oct 27, 2017",7:30p,Denver Nuggets,105,Atlanta Hawks,100,"16,220",-5,0
"Fri, Oct 27, 2017",7:30p,Brooklyn Nets,86,New York Knicks,107,"19,812",21,1
"Fri, Oct 27, 2017",8:00p,Oklahoma City Thunder,116,Minnesota Timberwolves,119,"17,620",3,1
"Fri, Oct 27, 2017",10:30p,Washington Wizards,117,Golden State Warriors,120,"19,596",3,1
"Fri, Oct 27, 2017",10:30p,Toronto Raptors,101,Los Angeles Lakers,92,"17,876",-9,0
"Sat, Oct 28, 2017",7:00p,Cleveland Cavaliers,101,New Orleans Pelicans,123,"18,539",22,1
"Sat, Oct 28, 2017",8:00p,Oklahoma City Thunder,101,Chicago Bulls,69,"21,706",-32,0
"Sat, Oct 28, 2017",8:00p,Houston Rockets,89,Memphis Grizzlies,103,"17,033",14,1
"Sat, Oct 28, 2017",8:00p,Boston Celtics,96,Miami Heat,90,"19,600",-6,0
"Sat, Oct 28, 2017",8:30p,Philadelphia 76ers,112,Dallas Mavericks,110,"19,567",-2,0
"Sat, Oct 28, 2017",9:00p,Los Angeles Lakers,81,Utah Jazz,96,"18,306",15,1
"Sat, Oct 28, 2017",10:00p,Phoenix Suns,107,Portland Trail Blazers,114,"19,343",7,1
"Sat, Oct 28, 2017",10:30p,Detroit Pistons,95,Los Angeles Clippers,87,"17,247",-8,0
"Sun, Oct 29, 2017",3:30p,Milwaukee Bucks,117,Atlanta Hawks,106,"14,014",-11,0
"Sun, Oct 29, 2017",4:30p,San Antonio Spurs,94,Indiana Pacers,97,"15,013",3,1
"Sun, Oct 29, 2017",6:00p,Denver Nuggets,124,Brooklyn Nets,111,"14,854",-13,0
"Sun, Oct 29, 2017",6:00p,Orlando Magic,113,Charlotte Hornets,120,"15,531",7,1
"Sun, Oct 29, 2017",6:00p,Washington Wizards,110,Sacramento Kings,83,"17,583",-27,0
"Sun, Oct 29, 2017",7:00p,New York Knicks,114,Cleveland Cavaliers,95,"20,562",-19,0
"Sun, Oct 29, 2017",8:30p,Detroit Pistons,115,Golden State Warriors,107,"19,596",-8,0
"Mon, Oct 30, 2017",7:30p,San Antonio Spurs,94,Boston Celtics,108,"18,624",14,1
"Mon, Oct 30, 2017",7:30p,Minnesota Timberwolves,125,Miami Heat,122,"19,600",-3,0
